"Choice (0: Left, 1: Right)","Outcome (0: Omission, 1: Rewarded)",Reward Probability of the Left,Reward Probability of the Right
0,0,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,0,0.7,0.3
0,0,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,0,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,0,0.7,0.3
0,1,0.7,0.3
0,0,0.3,0.7
0,0,0.3,0.7
0,1,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,1,0.3,0.7
0,1,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,1,0.3,0.7
0,0,0.3,0.7
0,1,0.3,0.7
0,0,0.3,0.7
0,1,0.3,0.7
0,0,0.3,0.7
0,1,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,1,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,1,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
1,0,0.3,0.7
1,1,0.3,0.7
1,1,0.3,0.7
1,1,0.3,0.7
1,0,0.3,0.7
1,1,0.3,0.7
1,1,0.3,0.7
1,1,0.3,0.7
1,1,0.3,0.7
1,1,0.3,0.7
1,0,0.3,0.7
1,0,0.3,0.7
1,1,0.3,0.7
1,0,0.3,0.7
1,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,1,0.7,0.3
0,0,0.7,0.3
0,1,0.7,0.3
0,0,0.7,0.3
0,1,0.7,0.3
0,0,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,0,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,0,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,0,0.7,0.3
0,1,0.7,0.3
0,0,0.7,0.3
0,0,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,1,0.7,0.3
0,1,0.3,0.7
0,1,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
1,1,0.3,0.7
0,0,0.3,0.7
1,1,0.3,0.7
1,1,0.3,0.7
1,1,0.3,0.7
1,0,0.3,0.7
1,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,1,0.3,0.7
0,1,0.3,0.7
0,1,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,1,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,1,0.3,0.7
0,1,0.3,0.7
0,0,0.3,0.7
1,1,0.3,0.7
1,0,0.3,0.7
0,0,0.3,0.7
1,1,0.3,0.7
1,1,0.3,0.7
1,1,0.3,0.7
1,1,0.3,0.7
1,1,0.3,0.7
1,1,0.3,0.7
1,0,0.3,0.7
1,1,0.3,0.7
1,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
1,0,0.3,0.7
0,0,0.3,0.7
1,1,0.3,0.7
1,1,0.3,0.7
1,1,0.3,0.7
1,1,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
0,0,0.3,0.7
1,0,0.3,0.7
1,0,0.3,0.7
0,0,0.3,0.7
1,1,0.3,0.7
0,1,0.3,0.7
0,0,0.3,0.7
0,1,0.3,0.7
0,0,0.3,0.7
